,fields.categorieentreprise,fields.etatadministratifunitelegale,fields.geolocetablissement,fields.trancheeffectifsunitelegale,fields.trancheeffectifsunitelegaletriable,fields.siretsiegeunitelegale,fields.siret,fields.etablissementsiege,fields.sectionunitelegale,fields.codepostaletablissement,fields.caractereemployeurunitelegale,fields.datecreationunitelegale,fields.datecreationetablissement,fields.denominationunitelegale,geometry.type,geometry.coordinates
477,PME,Active,"[48.897902, 2.325107]",1 ou 2 salariés,01,40362107100048,40362107100048,oui,Autres activités de services,75017.0,Oui,1988-10-21,2010-06-01,ASS SOLIDARITE INTERNATION & INTEGRATION,Point,"[2.325107, 48.897902]"
478,,Active,"[48.863078, 2.354327]",,,84452401700010,84452401700010,oui,"Arts, spectacles et activités récréatives",75003.0,Non,2011-04-11,2011-04-11,ASSOCIATION DE JUDO-JUJITSU MAKOTO,Point,"[2.354327, 48.863078]"
479,PME,Active,"[48.885465, 2.328212]",3 à 5 salariés,02,39409706700059,39409706700059,oui,Autres activités de services,75018.0,Oui,1991-09-01,2005-06-04,GRAINE ILE DE FRANCE,Point,"[2.328212, 48.885465]"
480,PME,Active,"[47.207087, -1.564648]",1 ou 2 salariés,01,40163902600079,40163902600061,non,"Arts, spectacles et activités récréatives",44200.0,Oui,1995-04-21,2014-06-01,LE CAFE VAINQUEUR,Point,"[-1.564648, 47.207087]"
481,PME,Active,"[48.888777, 2.322361]",10 à 19 salariés,11,41512988100058,41512988100058,oui,Enseignement,75017.0,Oui,1998-01-05,2012-01-01,ARITAS FORMATION-INSERTION,Point,"[2.322361, 48.888777]"
482,PME,Active,"[48.887385, 2.344638]",50 à 99 salariés,21,78475659500012,78475659500012,oui,Santé humaine et action sociale,75018.0,Oui,1900-01-01,1900-01-01,CENTR ISRAELITE MONTMARTRE,Point,"[2.344638, 48.887385]"
483,PME,Cessée,"[48.843178, 2.299933]",0 salarié,00,33048945100014,33048945100014,oui,Santé humaine et action sociale,75015.0,Oui,1984-07-02,1984-07-02,ASS AU RENDEZ VOUS BOUT'CHOU,Point,"[2.299933, 48.843178]"
484,PME,Active,"[48.864891, 2.389828]",10 à 19 salariés,11,49080435800037,49080435800037,oui,Santé humaine et action sociale,75020.0,Oui,2006-03-24,2008-01-16,AOCSA LA 20 EME CHAISE,Point,"[2.389828, 48.864891]"
485,PME,Active,"[48.893538, 2.370054]",3 à 5 salariés,02,53521602200033,53521602200025,non,Enseignement,75019.0,Oui,2011-08-22,2017-04-12,ASSOCIATION KOLONE,Point,"[2.370054, 48.893538]"
486,PME,Active,"[48.858819, 2.374178]",1 ou 2 salariés,01,45043309900030,45043309900030,oui,"Arts, spectacles et activités récréatives",75011.0,Oui,2002-05-30,2015-12-23,COMPAGNIE LES ELEPHANTS ROSES,Point,"[2.374178, 48.858819]"
487,PME,Active,"[48.893579, 2.36138]",20 à 49 salariés,12,44822299200027,44822299200027,oui,Autres activités de services,75018.0,Oui,2002-11-12,2012-08-09,ASSOCIATION CULTURE 2 +,Point,"[2.36138, 48.893579]"
488,PME,Active,"[48.863983, 2.345687]",1 ou 2 salariés,01,32376635200013,32376635200013,oui,Autres activités de services,75001.0,Oui,1975-05-01,1975-05-01,CINEDOC,Point,"[2.345687, 48.863983]"
489,ETI,Active,"[48.872156, 2.327289]",250 à 499 salariés,32,40288681600030,40288681600030,oui,Santé humaine et action sociale,75009.0,Oui,1994-02-17,1998-07-07,AGENCE D'AIDE A LA COOPERATION TECHNIQUE ET AU DEVELOPPEMENT,Point,"[2.327289, 48.872156]"
490,PME,Active,"[48.865498, 2.437187]",1 ou 2 salariés,01,50438941200033,50438941200033,oui,"Arts, spectacles et activités récréatives",93100.0,Oui,2008-01-04,2015-09-25,INDISCIPLINAIRE(S),Point,"[2.437187, 48.865498]"
491,PME,Active,"[48.893888, 2.372553]",Etablissement non employeur,-1,80206426100018,80206426100018,oui,Autres activités de services,75019.0,Oui,2014-04-21,2014-04-21,FEDERATION DES ETUDIANTS EN RESIDENCE UNIVERSITAIRE,Point,"[2.372553, 48.893888]"
492,PME,Active,"[48.856003, 2.392208]",6 à 9 salariés,03,30048530700015,30048530700015,oui,Autres activités de services,75011.0,Oui,1900-01-01,1900-01-01,ASS GESTION CENTRE ANIMATION CULTURELLE,Point,"[2.392208, 48.856003]"
493,,Active,"[48.855892, 2.30676]",,,50900657300018,50900657300018,oui,Autres activités de services,75007.0,Non,1998-12-05,1998-12-05,ASSO UNION INTERPROF RUE CLER GRENELLE CHAMPS DE MARS,Point,"[2.30676, 48.855892]"
494,PME,Active,"[48.825984, 2.306569]",1 ou 2 salariés,01,40261428300032,40261428300032,oui,"Arts, spectacles et activités récréatives",75014.0,Oui,1995-08-01,2007-03-01,CLUB ATHLETIQUE DE PARIS,Point,"[2.306569, 48.825984]"
495,PME,Active,,10 à 19 salariés,11,32765711000018,32765711000018,oui,"Arts, spectacles et activités récréatives",75116.0,Oui,1983-01-01,1983-01-01,CERCLE FEMININ PARIS,,
496,PME,Active,"[48.864045, 2.362217]",1 ou 2 salariés,01,52836818600029,52836818600029,oui,Autres activités de services,75003.0,Oui,2010-01-15,2011-12-01,LES CHEMINS DE LA DANSE,Point,"[2.362217, 48.864045]"
497,PME,Active,"[48.877694, 2.409295]",10 à 19 salariés,11,53381287100028,53381287100028,oui,"Arts, spectacles et activités récréatives",75020.0,Oui,2011-08-01,2011-09-01,LA DALLE AUX CHAPS,Point,"[2.409295, 48.877694]"
498,,Active,"[48.877536, 2.402441]",,,53357587400029,53357587400029,oui,Autres activités de services,75019.0,Non,1999-03-19,2008-04-30,A LA MEMOIRE DES ENFANTS JUIFS DEPORTES DU 11EME,Point,"[2.402441, 48.877536]"
499,PME,Active,"[48.830555, 2.374762]",,,79914556000022,79914556000022,oui,"Arts, spectacles et activités récréatives",75013.0,Oui,1997-08-19,2014-07-17,INUIT,Point,"[2.374762, 48.830555]"
500,,Active,"[48.84348, 2.344882]",Etablissement non employeur,-1,48161555700032,48161555700032,oui,Autres activités de services,75005.0,Non,2002-02-01,2010-11-17,ASSOCIATION COGNIVENCE,Point,"[2.344882, 48.84348]"
501,PME,Active,"[48.85941, 2.352332]",1 ou 2 salariés,01,33078230100023,33078230100023,oui,Autres activités de services,75004.0,Oui,1983-10-26,1998-01-01,LES AMIS DU CINEMA DU REEL,Point,"[2.352332, 48.85941]"
502,PME,Active,"[48.894832, 2.360109]",10 à 19 salariés,11,38786360800015,38786360800015,oui,Santé humaine et action sociale,75018.0,Oui,1992-05-04,1992-05-04,ASSOCIATION LES ENFANCES,Point,"[2.360109, 48.894832]"
503,PME,Active,"[48.831409, 2.352818]",3 à 5 salariés,02,81243402500027,81243402500027,oui,Santé humaine et action sociale,75013.0,Non,2013-12-12,2017-02-18,EN AVANT TOUTES,Point,"[2.352818, 48.831409]"
504,,Active,"[48.840882, 2.328867]",,,51525220300010,51525220300010,oui,"Arts, spectacles et activités récréatives",75014.0,Non,2007-01-24,2007-01-24,ASSOCIATION SPORTIVE DU COLLEGE ET LYCEE PAUL BERT,Point,"[2.328867, 48.840882]"
505,PME,Active,"[48.822992, 2.349055]",1 ou 2 salariés,01,42432213900033,42432213900033,oui,"Arts, spectacles et activités récréatives",75013.0,Oui,1998-06-18,2005-01-01,COURANT D'ART FRAIS,Point,"[2.349055, 48.822992]"
506,,Active,"[48.842093, 2.330085]",,,52493697800021,52493697800021,oui,Enseignement,75006.0,Non,2010-06-03,2013-07-12,DES JEUNES ET DES LETTRES,Point,"[2.330085, 48.842093]"
507,PME,Active,"[48.886827, 2.368272]",1 ou 2 salariés,01,32709759800079,32709759800079,oui,Autres activités de services,75019.0,Oui,1982-10-10,2012-07-01,FEDERATION TUNISIENS CITOYEN DES 2 RIVES,Point,"[2.368272, 48.886827]"
508,,Active,"[48.826939, 2.364658]",Etablissement non employeur,-1,31759830800011,31759830800011,oui,"Arts, spectacles et activités récréatives",75013.0,Non,1979-01-01,1979-01-01,ASSOCIAT SPORTIVE PARIS I,Point,"[2.364658, 48.826939]"
509,PME,Active,"[48.876296, 2.351967]",50 à 99 salariés,21,42334329200011,42334329200011,oui,Santé humaine et action sociale,75010.0,Oui,1999-06-01,1999-06-01,RESTAUS DU COEUR LES RELAIS COEUR PARIS,Point,"[2.351967, 48.876296]"
510,,Active,"[48.890069, 2.347335]",,,82847131800026,82847131800026,oui,"Arts, spectacles et activités récréatives",75018.0,Non,2015-05-30,2017-03-22,DESIDERATE,Point,"[2.347335, 48.890069]"
511,PME,Active,"[48.845852, 2.409441]",1 ou 2 salariés,01,38943016600030,38943016600030,oui,"Arts, spectacles et activités récréatives",75012.0,Oui,1991-10-20,2009-01-05,PROGENITURE,Point,"[2.409441, 48.845852]"
512,PME,Active,"[48.884125, 2.365344]",10 à 19 salariés,11,32731146000049,32731146000049,oui,"Arts, spectacles et activités récréatives",75010.0,Oui,1950-05-12,2012-11-20,UNION SPORTIVE ENSEIGN. 1ER DEGRE PARIS,Point,"[2.365344, 48.884125]"
513,,Active,"[48.824437, 2.367762]",,,53849324800016,53849324800016,oui,Autres activités de services,75013.0,Non,2011-10-31,2011-10-31,CLUB INFORMATIQUE FNACA PARIS,Point,"[2.367762, 48.824437]"
514,,Active,"[48.892935, 2.340676]",,,75362612600019,75362612600019,oui,Autres activités de services,75018.0,Non,2012-08-27,2012-08-27,ASSOCIATION DES COMMERCANTS DU QUARTIER ORDENER,Point,"[2.340676, 48.892935]"
515,PME,Active,"[48.893271, 2.376365]",20 à 49 salariés,12,79227291600034,79227291600034,oui,Santé humaine et action sociale,75019.0,Oui,2013-02-26,2018-04-26,EMMAUS CONNECT FONDATEUR ABBE PIERRE,Point,"[2.376365, 48.893271]"
516,PME,Active,"[48.72929, 2.300591]",Etablissement non employeur,-1,39108309400022,39108309400022,oui,Enseignement,91300.0,Non,1991-02-15,1991-02-15,CENTRE D INFORMATION DE FORMATION RECHERCHE ET DEVELOPPEMENT POUR LES ORIGINAIRES D OUTRE MER,Point,"[2.300591, 48.72929]"
517,PME,Active,"[48.870127, 2.370764]",Etablissement non employeur,-1,52410952700019,52410952700019,oui,"Arts, spectacles et activités récréatives",75010.0,Non,2010-05-26,2010-05-26,ASSSOCIATION INC FRANCE-MEXIQUE,Point,"[2.370764, 48.870127]"
518,PME,Active,"[48.877042, 2.388678]",3 à 5 salariés,02,79400268300025,79400268300025,oui,Information et communication,75019.0,Oui,2010-12-14,2015-01-09,REMEMBEUR,Point,"[2.388678, 48.877042]"
519,PME,Active,"[48.845316, 2.392724]",1 ou 2 salariés,01,43514736800045,43514736800045,oui,"Arts, spectacles et activités récréatives",75012.0,Oui,2000-05-19,2008-06-09,KTHA COMPAGNIE,Point,"[2.392724, 48.845316]"
520,,Active,"[48.825374, 2.337317]",,,85070172300015,85070172300015,oui,Autres activités de services,75014.0,Non,2019-04-04,2019-04-04,SARAMAYA MEETINGS,Point,"[2.337317, 48.825374]"
521,PME,Active,"[48.842693, 2.326885]",6 à 9 salariés,03,30348595700029,30348595700029,oui,Autres activités de services,75014.0,Oui,1900-01-01,1900-01-01,AEPNDC MONTPARNASSE RENCONTRE,Point,"[2.326885, 48.842693]"
522,PME,Active,"[48.640617, 2.233942]",250 à 499 salariés,32,78440581300089,78440581300089,oui,"Arts, spectacles et activités récréatives",91460.0,Oui,1900-01-01,2010-09-09,FEDERATION FRANCAISE RUGBY,Point,"[2.233942, 48.640617]"
523,PME,Active,"[48.868414, 2.36114]",50 à 99 salariés,21,40218568000020,40218568000020,oui,Santé humaine et action sociale,75010.0,Oui,1995-08-07,2008-05-10,INTERFACE FORMATION,Point,"[2.36114, 48.868414]"
524,,Active,"[48.847927, 2.394315]",,,79801974100015,79801974100015,oui,"Arts, spectacles et activités récréatives",75012.0,Non,1986-10-28,1986-10-28,ASSOCIATION SPORTIVE DU LYCEE ARAGO,Point,"[2.394315, 48.847927]"
525,,Active,"[48.895426, 2.326411]",,,88205591600028,88205591600010,non,"Arts, spectacles et activités récréatives",75017.0,Non,2020-01-14,2020-01-14,PARALLELE,Point,"[2.326411, 48.895426]"
526,PME,Active,"[48.871917, 2.343567]",,,83841674100018,83841674100018,oui,Autres activités de services,75009.0,Non,2016-02-11,2016-02-11,L'ACCUEILLETTE DU 9E,Point,"[2.343567, 48.871917]"
527,,Active,"[48.831832, 2.295756]",,,50134171300037,50134171300037,oui,"Arts, spectacles et activités récréatives",75015.0,Non,1991-09-05,2012-02-27,COMITE DEPARTEMENTAL MOTOCYCLISTE DE PARIS,Point,"[2.295756, 48.831832]"
528,PME,Active,"[48.86755, 2.370452]",50 à 99 salariés,21,49369278400025,49369278400025,oui,Santé humaine et action sociale,75011.0,Oui,2006-12-01,2017-08-01,GAIA PARIS,Point,"[2.370452, 48.86755]"
529,PME,Active,"[48.870475, 2.403139]",10 à 19 salariés,11,30554644200032,30554644200032,oui,"Arts, spectacles et activités récréatives",75020.0,Oui,1981-11-23,2020-06-30,CENTRE NATIONAL DES DRAMATURGIES CONTEMPORAINES - THEATRE OUVERT,Point,"[2.403139, 48.870475]"
530,PME,Active,"[48.840813, 2.296534]",6 à 9 salariés,03,42912398700027,42912398700027,oui,"Arts, spectacles et activités récréatives",75015.0,Oui,1999-10-01,2006-01-01,CAP  SPORTS  ARTS  AVENTURES  AMITIES,Point,"[2.296534, 48.840813]"
531,PME,Active,"[48.898434, 2.348549]",1 ou 2 salariés,01,78475709800016,78475709800016,oui,Autres activités de services,75018.0,Oui,1900-01-01,1900-01-01,ASEFEC,Point,"[2.348549, 48.898434]"
532,PME,Active,"[48.835833, 2.324344]",1 ou 2 salariés,01,81054127600012,81054127600012,oui,Autres activités de services,75014.0,Oui,2015-01-26,2015-01-26,LA TABLE DES MATIERES,Point,"[2.324344, 48.835833]"
533,PME,Active,"[48.887932, 2.360841]",6 à 9 salariés,03,41826507000023,41826507000023,oui,Autres activités de services,75018.0,Oui,1997-03-01,2017-09-14,ATOUTS COURS,Point,"[2.360841, 48.887932]"
534,PME,Active,"[48.844453, 2.384111]",0 salarié,00,50071635200025,50071635200025,oui,Autres activités de services,75012.0,Oui,2003-10-06,2008-02-14,FEMMES SOURDES CITOYENNES ET SOLIDAIRES,Point,"[2.384111, 48.844453]"
535,,Active,"[48.885587, 2.352743]",,,85156075500015,85156075500015,oui,Autres activités de services,75018.0,Oui,2018-12-06,2018-12-06,COLLECTIF BOL D ART,Point,"[2.352743, 48.885587]"
536,PME,Active,"[48.890579, 2.345768]",50 à 99 salariés,21,43797111200044,43797111200044,oui,"Arts, spectacles et activités récréatives",75018.0,Oui,2000-12-13,2011-06-01,ASSOCIATION ART-EXPRIM 18,Point,"[2.345768, 48.890579]"
537,PME,Active,"[48.890922, 2.375183]",3 à 5 salariés,02,53086452900017,53086452900017,oui,Autres activités de services,75019.0,Oui,2011-02-01,2011-02-01,LA PAROLE AUX SOURDS,Point,"[2.375183, 48.890922]"
538,PME,Active,"[48.938332, 2.354394]",,,87763607600011,87763607600011,oui,"Arts, spectacles et activités récréatives",93200.0,Oui,2019-08-11,2019-08-11,FUT-FUT COLLECTIF,Point,"[2.354394, 48.938332]"
539,,Active,"[48.845789, 2.550739]",,,81785759200015,81785759200015,oui,Autres activités de services,93160.0,Non,2014-04-16,2014-04-16,ASSOCIATION TYO STORY,Point,"[2.550739, 48.845789]"
540,PME,Active,"[48.840488, 2.392507]",1 ou 2 salariés,01,47958754500043,47958754500043,oui,"Arts, spectacles et activités récréatives",75012.0,Oui,2004-11-16,2013-07-01,L ENTRE-SORT,Point,"[2.392507, 48.840488]"
541,PME,Active,"[48.858392, 2.385513]",3 à 5 salariés,02,75239446000030,75239446000022,non,Autres activités de services,75011.0,Oui,2012-04-05,2016-04-01,TATANE,Point,"[2.385513, 48.858392]"
542,,Active,"[48.877455, 2.341876]",Etablissement non employeur,-1,35048061200026,35048061200026,oui,"Arts, spectacles et activités récréatives",75009.0,Non,1985-05-01,2013-04-11,ASS SPORTIVE NOTRE DAME DE LORETTE,Point,"[2.341876, 48.877455]"
543,PME,Active,"[48.844496, 2.344017]",1 ou 2 salariés,01,43159836600018,43159836600018,oui,Autres activités de services,75005.0,Oui,1998-06-08,1998-06-08,ASSOCIATION POUR ANIMATION MATHEMATIQUE,Point,"[2.344017, 48.844496]"
544,PME,Active,"[48.890904, 2.374143]",3 à 5 salariés,02,84244656900027,84244656900019,non,Autres activités de services,75019.0,Oui,2018-06-15,2018-06-15,CENTRE SOCIAL ET CULTUREL PORTE POUCHET,Point,"[2.374143, 48.890904]"
545,ETI,Active,"[48.852284, 2.274995]",250 à 499 salariés,32,34482479200032,34482479200032,oui,Santé humaine et action sociale,75016.0,Oui,1988-02-01,1992-06-15,ABC PUERICULTURE,Point,"[2.274995, 48.852284]"
546,PME,Active,"[48.82507, 2.343532]",3 à 5 salariés,02,49457124300026,49457124300026,oui,Autres activités de services,75013.0,Oui,2006-07-25,2007-04-18,GROUPE DIFFUS INFORMAT ENVIRONNE,Point,"[2.343532, 48.82507]"
547,PME,Active,"[48.852436, 2.380817]",3 à 5 salariés,02,44444201600036,44444201600028,non,Autres activités de services,75011.0,Oui,1992-11-06,2007-05-14,ASSOC DU QUARTIER SAINT BERNARD,Point,"[2.380817, 48.852436]"
548,PME,Active,"[48.822633, 2.361318]",Etablissement non employeur,-1,33270152300026,33270152300026,oui,Autres activités de services,75013.0,Oui,1984-10-01,2003-04-25,ADA XIII ASS DEVELOP AMENAG 13,Point,"[2.361318, 48.822633]"
549,PME,Active,"[48.886745, 2.360297]",Etablissement non employeur,-1,43365581800022,43365581800022,oui,"Arts, spectacles et activités récréatives",75018.0,Oui,2000-09-03,2017-01-01,COMPAGNIE DU MARTEAU,Point,"[2.360297, 48.886745]"
550,PME,Active,"[48.819239, 2.280001]",20 à 49 salariés,12,83851212700013,83851212700013,oui,Enseignement,92130.0,Non,2017-09-27,2017-09-27,EMC2 - EXCELLENCE MATHEMATIQUE COMPATIBLE AVEC LE CHABBAT,Point,"[2.280001, 48.819239]"
551,,Active,"[48.861883, 2.341157]",,,85041495400022,85041495400022,oui,Autres activités de services,75001.0,Non,2019-04-25,2019-09-26,SOCIETE INCLUSIVE,Point,"[2.341157, 48.861883]"
552,PME,Active,"[48.895765, 2.324615]",1 ou 2 salariés,01,47871740800015,47871740800015,oui,Autres activités de services,75017.0,Oui,2002-11-28,2002-11-28,ATELIER DES EPINETTES,Point,"[2.324615, 48.895765]"
553,PME,Active,"[48.841299, 2.409042]",6 à 9 salariés,03,40098218700025,40098218700025,oui,Autres activités de services,75012.0,Oui,1993-04-02,2010-04-15,CENTRE ANIMATION JEUNESSE-PROMOSPORT,Point,"[2.409042, 48.841299]"
554,PME,Active,"[48.834378, 2.388601]",1 ou 2 salariés,01,80962143600025,80962143600025,oui,Autres activités de services,75012.0,Non,2015-01-26,2018-09-12,ACCESSIJEUX,Point,"[2.388601, 48.834378]"
555,PME,Active,"[48.886292, 2.320113]",6 à 9 salariés,03,81169763000051,81169763000010,non,Autres activités de services,75017.0,Oui,2014-02-06,2014-02-06,BLEU BLANC ZEBRE,Point,"[2.320113, 48.886292]"
556,PME,Active,"[48.872324, 2.355589]",3 à 5 salariés,02,40292544000024,40292544000024,oui,Santé humaine et action sociale,75010.0,Oui,1993-02-10,1999-07-15,AXES PLURIELS,Point,"[2.355589, 48.872324]"
557,PME,Active,"[48.818988, 2.380513]",10 à 19 salariés,11,44928282100049,44928282100049,oui,"Arts, spectacles et activités récréatives",94200.0,Oui,2003-06-06,2012-10-01,CIE REMUE MENAGE,Point,"[2.380513, 48.818988]"
558,,Active,"[48.854236, 2.360494]",,,50343096900017,50343096900017,oui,Autres activités de services,75004.0,Non,1990-02-20,1990-02-20,ASSOCIATION SPORTIVE DU LYCEE CHARLEMAGNE,Point,"[2.360494, 48.854236]"
559,PME,Active,"[48.825755, 2.34747]",Etablissement non employeur,-1,53749449400017,53749449400017,oui,Autres activités de services,75013.0,Oui,2011-07-01,2011-07-01,ASSOCIATION LE BUS BILINGUE,Point,"[2.34747, 48.825755]"
560,PME,Active,"[48.838113, 2.35314]",50 à 99 salariés,21,49767330100030,49767330100030,oui,Santé humaine et action sociale,75005.0,Oui,2007-02-23,2013-01-01,LES ENFANTS DU CANAL,Point,"[2.35314, 48.838113]"
561,,Active,"[48.851417, 2.50263]",,,83426098600015,83426098600015,oui,Autres activités de services,94170.0,Non,2017-02-10,2017-02-10,STRITER,Point,"[2.50263, 48.851417]"
562,,Active,"[48.864153, 2.345593]",,,84259701500028,84259701500010,non,Information et communication,75001.0,Non,2016-09-30,2016-09-30,LA CONSEQUENCE,Point,"[2.345593, 48.864153]"
563,PME,Active,"[48.885885, 2.345318]",1 ou 2 salariés,01,43838653400038,43838653400038,oui,"Arts, spectacles et activités récréatives",75018.0,Oui,2001-06-01,2017-10-30,DANS LE GENRE EGALES,Point,"[2.345318, 48.885885]"
564,PME,Active,"[48.885157, 2.260855]",20 à 49 salariés,12,53805578100032,53805578100024,non,Autres activités de services,92200.0,Oui,2011-07-15,2015-09-11,FEDERATION NATIONALE CAMI,Point,"[2.260855, 48.885157]"
565,PME,Active,"[48.868732, 2.385025]",3 à 5 salariés,02,32660614200023,32660614200023,oui,Autres activités de services,75020.0,Oui,1982-12-01,1984-07-01,ASS CULTURELLE BERBERE,Point,"[2.385025, 48.868732]"
566,,Active,"[48.843516, 2.348188]",,,53486838500012,53486838500012,oui,Autres activités de services,75005.0,Non,1969-04-04,1969-04-04,COMITE DU 5E ARRONDISSEMENT DE PARIS DE LA FEDERATION NATIONALE DES ANCIENS COMBATTANTS EN ALGERIE MAROC TUNISIE,Point,"[2.348188, 48.843516]"
567,PME,Active,"[48.896886, 2.342177]",10 à 19 salariés,11,81334851300033,81334851300033,oui,Autres activités de services,75018.0,Oui,2015-07-31,2018-11-13,FRANCE-FRATERNITES,Point,"[2.342177, 48.896886]"
568,PME,Active,"[48.835592, 2.325821]",1 ou 2 salariés,01,49812658000030,49812658000030,oui,"Arts, spectacles et activités récréatives",75014.0,Oui,2006-10-20,2014-06-24,COMPAGNIE LE SAUT DE L ANGE,Point,"[2.325821, 48.835592]"
569,PME,Active,"[48.826654, 2.308569]",20 à 49 salariés,12,50026640800045,50026640800045,oui,Santé humaine et action sociale,75014.0,Oui,2007-05-03,2018-04-11,FLORA TRISTAN LA REGIE DE QUARTIER DU 14EME,Point,"[2.308569, 48.826654]"
570,PME,Active,"[48.860244, 2.378927]",3 à 5 salariés,02,43192150100026,43192150100026,oui,"Arts, spectacles et activités récréatives",75011.0,Oui,2000-03-07,2015-03-10,LA COMPAGNIE GAZELLE,Point,"[2.378927, 48.860244]"
571,PME,Active,"[48.882931, 2.389646]",10 à 19 salariés,11,79783737400025,79783737400025,oui,Autres activités de services,75019.0,Oui,2013-04-22,2017-04-01,ASSO ESPRIT SAVOIR SPORT ET EQUITE,Point,"[2.389646, 48.882931]"
572,,Active,"[48.851932, 2.298247]",Etablissement non employeur,-1,45150491400016,45150491400016,oui,Autres activités de services,75015.0,Non,2003-07-26,2003-07-26,CINE HISTOIRE,Point,"[2.298247, 48.851932]"
573,PME,Active,"[48.871397, 2.350769]",1 ou 2 salariés,01,43809885700032,43809885700032,oui,Santé humaine et action sociale,75010.0,Oui,1999-01-01,2016-09-15,ESPACE UNIVERSEL,Point,"[2.350769, 48.871397]"
574,PME,Active,"[48.87806, 2.429747]",3 à 5 salariés,02,80279851200033,80279851200033,oui,"Arts, spectacles et activités récréatives",93170.0,Oui,2014-05-01,2017-12-05,PRODUCTIONS ANECDOTIQUES,Point,"[2.429747, 48.87806]"
575,,Active,"[48.881477, 2.374606]",,,51516783100012,51516783100012,oui,"Arts, spectacles et activités récréatives",75019.0,Non,2009-06-04,2009-06-04,ASSOCIATION SPORTIVE INITIATIVE,Point,"[2.374606, 48.881477]"
576,,Active,"[48.834426, 2.295496]",,,80356418600010,80356418600010,oui,Autres activités de services,75015.0,Non,2014-01-15,2014-01-15,ASSOCIATION DES COMMERCANTS ET ARTISANS OLIVIER DE SERRES MORILLONS,Point,"[2.295496, 48.834426]"
577,,Active,"[48.889681, 2.342618]",,,49778860400013,49778860400013,oui,"Arts, spectacles et activités récréatives",75018.0,Non,2004-01-10,2004-01-10,LA RUCHE DES ARTS,Point,"[2.342618, 48.889681]"
578,PME,Active,"[48.878813, 2.35354]",6 à 9 salariés,03,78445208800031,78445208800023,non,Autres activités de services,75010.0,Oui,1900-01-01,1990-06-08,CONFEDERATION MUSICALE DE FRANCE,Point,"[2.35354, 48.878813]"
579,,Active,"[45.985285, 4.724214]",,,83846023600022,83846023600022,oui,Autres activités de services,69400.0,Non,2018-01-23,2019-03-30,ATELIER CHAUSSURES/SOULIER,Point,"[4.724214, 45.985285]"
580,PME,Active,"[48.836855, 2.306437]",3 à 5 salariés,02,81145538500021,81145538500021,oui,Enseignement,75015.0,Oui,2015-04-07,2018-04-23,LILY SCHOOL PARIS,Point,"[2.306437, 48.836855]"
581,,Active,"[48.917527, 2.386017]",,,84117746200014,84117746200014,oui,Autres activités de services,93300.0,Non,2018-06-06,2018-06-06,GRAV.,Point,"[2.386017, 48.917527]"
582,PME,Active,"[48.891594, 2.380341]",10 à 19 salariés,11,48251233200016,48251233200016,oui,Autres activités de services,75019.0,Oui,2005-01-01,2005-01-01,FEDERATION NATIONALES ASS SOLIDAIRES,Point,"[2.380341, 48.891594]"
583,PME,Active,"[48.884578, 2.336258]",1 ou 2 salariés,01,82235089800026,82235089800026,oui,"Arts, spectacles et activités récréatives",75018.0,Oui,2016-07-21,2016-12-01,STRUCTURE PRODUCTION,Point,"[2.336258, 48.884578]"
584,PME,Active,"[48.885403, 2.352843]",1 ou 2 salariés,01,75048042800010,75048042800010,oui,Autres activités de services,75018.0,Oui,2011-08-12,2011-08-12,ASSOCIATION DES PROFESSIONNELS DE LA MODE ET DU DESIGN DE LA GOUTTE D'OR,Point,"[2.352843, 48.885403]"
585,PME,Active,"[48.844534, 2.285838]",1 ou 2 salariés,01,44912604400014,44912604400014,oui,Autres activités de services,75015.0,Oui,2003-06-03,2003-06-03,ACTION PASSERAILE,Point,"[2.285838, 48.844534]"
586,PME,Active,"[48.875368, 2.303599]",1 ou 2 salariés,01,78485712000017,78485712000017,oui,Autres activités de services,75008.0,Oui,1900-01-01,1900-01-01,SOC NATIONALE DES BEAUX ARTS,Point,"[2.303599, 48.875368]"
587,PME,Active,"[48.821252, 2.364572]",6 à 9 salariés,03,48905531900029,48905531900029,oui,Autres activités de services,75013.0,Oui,2005-12-05,2008-03-05,ASS 13 POUR TOUS,Point,"[2.364572, 48.821252]"
588,PME,Active,"[48.87231, 2.303767]",3 à 5 salariés,02,47900246100024,47900246100024,oui,Autres activités de services,75008.0,Oui,2004-08-04,2013-10-03,INST HTES ETUDES DEV AMENA TERRI EURO,Point,"[2.303767, 48.87231]"
589,PME,Active,"[48.821795, 2.36063]",0 salarié,00,39910766300011,39910766300011,oui,"Arts, spectacles et activités récréatives",75013.0,Oui,1994-11-01,1994-11-01,SPORTING CLUB DE PARIS,Point,"[2.36063, 48.821795]"
590,PME,Active,"[48.035169, 0.925692]",3 à 5 salariés,02,45199064200030,45199064200030,oui,"Arts, spectacles et activités récréatives",41170.0,Oui,2002-12-06,2012-04-02,CHEPTEL ALEIKOUM,Point,"[0.925692, 48.035169]"
591,,Active,"[48.862293, 2.399418]",,,79889169300029,79889169300029,oui,"Arts, spectacles et activités récréatives",75020.0,Non,2013-10-02,2019-09-12,ASSOCIATION BAD ATTITUDE,Point,"[2.399418, 48.862293]"
592,PME,Active,"[48.8533, 2.391075]",1 ou 2 salariés,01,81382442200022,81382442200022,oui,Autres activités de services,75011.0,Oui,2015-07-16,2016-12-13,ASSOCIATION DROIT AU LOGEMENT OPPOSABLE,Point,"[2.391075, 48.8533]"
