categorieentreprise,geolocetablissement,trancheeffectifsunitelegale,trancheeffectifsunitelegaletriable,siretsiegeunitelegale,siret,etablissementsiege,codepostaletablissement,caractereemployeurunitelegale,datecreationunitelegale,datecreationetablissement,denominationunitelegale,adresseetablissementcomplete
PME,"[48.82668, 2.351078]",0 salarié,0,53460746000027,53460746000027,1,75013,1,2011-08-04,2014-10-23,COMPAGNIE THEATRALE L EMBARCADERE,"48 RUE BOBILLOT, 75013 PARIS 13"
PME,"[48.878333, 2.326866]",0 salarié,0,81779763200012,81779763200012,1,75008,1,2015-07-24,2015-07-24,LES PIES MENTEURS,"27 RUE D'AMSTERDAM, 75008 PARIS 8"
PME,"[48.897666, 2.339792]",1 ou 2 salariés,1,48978535200019,48978535200019,1,75018,1,2006-04-25,2006-04-25,AU RENDEZ-VOUS DES SENIORS,"67 BOULEVARD NEY, 75018 PARIS 18"
PME,"[48.878797, 2.368995]",0 salarié,0,48440129400018,48440129400018,1,75010,1,2005-08-29,2005-08-29,NGAMB'ART,"9 RUE LOUIS BLANC, 75010 PARIS 10"
PME,"[48.825724, 2.342473]",1 ou 2 salariés,1,38227499100050,38227499100050,1,75013,0,1990-10-01,1999-12-08,COMPAGNIE CONFIDENCES,"51 RUE BOUSSINGAULT, 75013 PARIS 13"
Non productif,"[48.70646, 2.222776]",Etablissement non employeur,-1,82772702500013,82772702500013,1,91120,0,2016-11-03,2016-11-03,GLOBESHAKERS PROJECT,"1 RUE LA VIGNE DE LOZERE, 91120 PALAISEAU"
PME,"[48.844264, 2.297578]",1 ou 2 salariés,1,44880874100038,44880874100038,1,75015,1,2002-06-04,2012-05-02,PAROLE DE CHIEN,"10 RUE JOSEPH LIOUVILLE, 75015 PARIS 15"
PME,"[48.856222, 2.367392]",6 à 9 salariés,3,44132642800063,44132642800063,1,75003,1,1999-01-01,2018-02-19,ASSOC STARTING BLOCK,"50 RUE DES TOURNELLES, 75003 PARIS 3"
PME,"[48.859243, 2.408538]",6 à 9 salariés,3,48155472300033,48155472300033,1,75020,1,2004-10-11,2016-03-05,SOLEIL BLAISE,"7 SQUARE VITRUVE, 75020 PARIS 20"
PME,"[48.870617, 2.356649]",0 salarié,0,52364734500017,52364734500017,1,75010,1,2010-06-03,2010-06-03,DOCUMENTAIRE  ET DEPLOYE,"46 RUE DU FAUBOURG SAINT MARTIN, 75010 PARIS 10"
Non productif,"[48.840277, 2.356146]",Etablissement non employeur,-1,90437936900013,90437936900013,1,75005,0,2020-12-02,2020-12-02,ASSOCIATION DES COMMERCANT DU QUARTIER JARDIN DES PLANTE,"25 RUE GEOFFROY ST HILAIRE, 75005 PARIS 5"
Non productif,"[48.843601, 2.382628]",Etablissement non employeur,-1,53226844800018,53226844800018,1,75012,0,1994-07-08,1994-07-08,ALPHABETISATION ET ENSEIGNEMENT POUR ADULTES (ALEA),"86 AVENUE DAUMESNIL, 75012 PARIS 12"
Non productif,"[48.839551, 2.348191]",Etablissement non employeur,-1,82129937700019,82129937700019,1,75005,0,2016-05-28,2016-05-28,AGROS MIGRATEURS,"16 RUE CLAUDE BERNARD, 75005 PARIS 5"
Non productif,"[48.826014, 2.320604]",Etablissement non employeur,-1,81145621900013,81145621900013,1,75014,0,2014-12-16,2014-12-16,ASSOCIATION POUR L HARMONIE DU TERRITOIRE ALLIANT LE RESPECT ET L APTITUDE A MAINTENIR SON ENVIRONNEMENT,"12 RUE AUGUSTE CAIN, 75014 PARIS 14"
PME,"[48.828472, 2.373155]",0 salarié,0,80901539900037,80901539900011,0,75013,1,2014-05-23,2014-05-23,ANNEE ZERO,"31 RUE DE TOLBIAC, 75013 PARIS 13"
Non productif,"[48.875985, 2.304887]",Etablissement non employeur,-1,78436160200039,78436160200039,1,75008,0,1900-01-01,2015-09-30,LES FILS DES MORTS POUR LA FRANCE LES FILS DES TUES D ILE DE FRANCE PARIS,"28 RUE LAURE DIEBOLD, 75008 PARIS 8"
Non productif,"[48.845748, 2.29]",Etablissement non employeur,-1,85074286700011,85074286700011,1,75015,0,2018-11-27,2018-11-27,URGENCE TRAUMA PSY PARIS,"10 RUE EDMOND ROGER, 75015 PARIS 15"
Non productif,"[48.892061, 2.352387]",Etablissement non employeur,-1,78883637700010,78883637700010,1,75018,0,2012-09-26,2012-09-26,MA GOUTTE D'OR,"2 ALLÉE D ANDREZIEUX, 75018 PARIS 18"
PME,"[48.868956, 2.393052]",20 à 49 salariés,12,45298867800044,45298867800044,1,75020,1,2004-02-27,2013-11-01,REGIE DE QUARTIER SAINT BLAISE CHARONNE,"88 RUE DE LA REUNION, 75020 PARIS 20"
PME,"[48.84397, 2.347452]",20 à 49 salariés,12,38291565000032,38291565000032,1,75005,1,1991-05-01,2002-01-29,MUSIQUE SACREE A NOTRE DAME DE PARIS,"39 BOULEVARD SAINT GERMAIN, 75005 PARIS 5"
Non productif,"[48.827392, 2.385253]",Etablissement non employeur,-1,83193631500017,83193631500017,1,75013,0,2017-01-17,2017-01-17,ASENEA (ASSOCIATION DES SPORTS EQUESTRES NATIONALE DES ECOLES D'ARCHITECTURE),"3 QUAI PANHARD ET LEVASSOR, 75013 PARIS 13"
PME,"[48.883382, 2.342706]",1 ou 2 salariés,1,32860530800027,32860530800027,1,75018,1,1983-11-01,2002-08-29,THEATRE DE L ATALANTE,"10 PLACE CHARLES DULLIN, 75018 PARIS 18"
Non productif,"[48.876936, 2.287672]",Etablissement non employeur,-1,80250644400016,80250644400016,1,75017,0,2011-02-16,2011-02-16,ASSOCIATION DES COMMERCANTS DU VILLAGE SAINT FERDINAND,"6 RUE DENIS POISSON, 75017 PARIS 17"
Non productif,"[48.852259, 2.403104]",Etablissement non employeur,-1,52461913700028,52461913700010,0,75020,0,2010-04-30,2010-04-30,ESPOIR DE COTE D'IVOIRE,"61 RUE D AVRON, 75020 PARIS 20"
PME,"[48.833572, 2.367112]",3 à 5 salariés,2,42188516100024,42188516100024,1,75013,1,1985-03-20,2012-05-24,MAISON DES POTES - MAISON DE L EGALITE,"16 SQUARE DUNOIS, 75013 PARIS 13"
PME,"[48.886939, 2.373762]",3 à 5 salariés,2,34528093700037,34528093700037,1,75019,1,1988-03-01,1996-12-01,MAISON DU FILM,"10 PASSAGE DE FLANDRE, 75019 PARIS 19"
Non productif,"[48.820514, 2.344026]",Etablissement non employeur,-1,81482186400026,81482186400026,1,75013,0,2015-11-13,2017-08-11,SECOURS INTERNATIONAL RESEAU D'AIDES HUMANITAIRES - SIRAH,"83 RUE DE L AMIRAL MOUCHEZ, 75013 PARIS 13"
Non productif,"[48.856877, 2.420734]",Etablissement non employeur,-1,51846303900025,51846303900025,1,93170,0,2009-08-06,2017-01-13,GEOMUSE,"220 RUE ETIENNE MARCEL, 93170 BAGNOLET"
Non productif,"[48.83369, 2.323113]",Etablissement non employeur,-1,82235132600019,82235132600019,1,75014,0,2015-03-16,2015-03-16,MEDIAPSY VIDEO,"162 RUE DU CHATEAU, 75014 PARIS 14"
PME,"[48.804409, 2.346986]",0 salarié,0,42315327900074,42315327900074,1,94270,1,1999-04-23,2018-03-02,SO WEITER,"21 RUE PROFESSEUR BERGONIE, 94270 LE KREMLIN-BICETRE"
PME,"[48.856543, 2.28418]",Etablissement non employeur,-1,49881330200029,49881330200029,1,75016,0,2006-10-27,2017-03-03,RAMAGE,"14 AVENUE RENE BOYLESVE, 75016 PARIS 16"
PME,"[48.872324, 2.355589]",Etablissement non employeur,-1,81512078700024,81512078700016,0,75010,0,2015-11-08,2015-11-08,COMPAGNIE PAUPIERES MOBILES,"55 RUE DU CHATEAU D EAU, 75010 PARIS 10"
PME,"[44.379526, 5.188954]",Etablissement non employeur,-1,41763712100019,41763712100019,1,26110,0,1997-11-01,1997-11-01,ASSOCIATION AFRICULTURES,"LE VILLAGE, 26110 LES PILLES"
PME,"[48.846511, 2.280757]",Etablissement non employeur,-1,75200920900012,75200920900012,1,75015,0,2005-03-04,2005-03-04,LES AMIS DE FRANS KRAJCBERG,"21 AVENUE DU MAINE, 75015 PARIS 15"
Non productif,"[48.83917, 2.256453]",Etablissement non employeur,-1,83226380000019,83226380000019,1,75016,0,2017-04-10,2017-04-10,SOLIDARITE SAINTE JEANNE DE CHANTAL,"96 BOULEVARD MURAT, 75016 PARIS 16"
Non productif,"[48.846174, 2.392797]",Etablissement non employeur,-1,80952813600025,80952813600025,1,75012,0,2014-12-28,2021-01-20,FORM OF MEETING AND TRANSMISSION OF VISUAL ARTS,"7 RUE CHRISTIAN DEWET, 75012 PARIS 12"
Non productif,"[48.886868, 2.368556]",Etablissement non employeur,-1,79878705700016,79878705700016,1,75019,0,2012-10-04,2012-10-04,ASSO MUSIC'HALL 19,"26 RUE DU MAROC, 75019 PARIS 19"
PME,"[48.85531, 2.362314]",Etablissement non employeur,-1,87814405400011,87814405400011,1,75004,1,2017-12-29,2017-12-29,NOUVELLE PAGE,"13 RUE D ORMESSON, 75004 PARIS 4"
Non productif,"[48.846726, 2.291484]",Etablissement non employeur,-1,51890521100018,51890521100018,1,75015,0,2009-01-01,2009-01-01,EVOLUTION SPORTIVE ET CULTURELLE XV,"124 AVENUE EMILE ZOLA, 75015 PARIS 15"
PME,"[48.860939, 2.349337]",250 à 499 salariés,32,32385721900097,32385721900097,1,75001,1,1982-01-01,1998-12-01,ACTION SOCIA PERSON VIL PARISDEP PARIS,"35 BOULEVARD DE SEBASTOPOL, 75001 PARIS 1"
PME,"[45.600316, 1.061146]",Etablissement non employeur,-1,82465168100028,82465168100028,1,87230,1,2014-12-30,2017-01-09,ELEPHANT HAVEN - EUROPEAN ELEPHANT SANCTUARY,"5 LIEU DIT RETABOUT, 87230 BUSSIERE-GALANT"
PME,"[48.864089, 2.34958]",Etablissement non employeur,-1,32919898000065,32919898000057,0,75002,0,1984-01-01,2004-03-10,COORDINATION COLLECT PORTUGAISES FRANCE,"17 RUE DE TURBIGO, 75002 PARIS 2"
PME,"[48.869929, 2.375622]",6 à 9 salariés,3,44336363500014,44336363500014,1,75011,1,2003-01-01,2003-01-01,PETIT CONCEPT,"18 RUE DE L ORILLON, 75011 PARIS 11"
PME,"[48.821776, 2.364365]",1 ou 2 salariés,1,44796522900043,44796522900043,1,75013,1,2003-01-26,2015-12-16,LA COMPAGNIE A L'AFFUT,"5 PLACE DE VENETIE, 75013 PARIS 13"
Non productif,"[48.886471, 2.341053]",Etablissement non employeur,-1,53097360100012,53097360100012,1,75018,0,1939-03-20,1939-03-20,LES P TITS POULBOTS,"3 PLACE DU TERTRE, 75018 PARIS 18"
PME,"[48.835592, 2.325821]",1 ou 2 salariés,1,40848529000030,40848529000030,1,75014,1,1996-07-12,2010-07-10,ASSOCIATION RESSAC,"22 RUE DEPARCIEUX, 75014 PARIS 14"
Non productif,"[48.886997, 2.367044]",Etablissement non employeur,-1,83367925100011,83367925100011,1,75019,0,2017-08-15,2017-08-15,COOP NATURAE,"52 RUE D AUBERVILLIERS, 75019 PARIS 19"
PME,"[43.136828, 5.927174]",Etablissement non employeur,-1,50777124400047,50777124400047,1,83200,0,2008-07-21,2014-12-01,FU-JO,"145 IMPASSE DU LIBAN, 83200 TOULON"
PME,"[48.895997, 2.378457]",3 à 5 salariés,2,44301381800036,44301381800036,1,75019,1,2002-06-17,2012-09-01,UNE CHORBA POUR TOUS,"108 RUE CURIAL, 75019 PARIS 19"
PME,"[48.877612, 2.350954]",10 à 19 salariés,11,32744679500012,32744679500012,1,75010,1,1983-02-01,1983-02-01,INSTITUT KURDE DE PARIS,"106 RUE LA FAYETTE, 75010 PARIS 10"
PME,"[48.829462, 2.381826]",6 à 9 salariés,3,48957504300034,48957504300034,1,75013,1,2004-07-22,2012-03-01,BETONSALON,"9 ESPLANADE PIERRE VIDAL NAQUET, 75013 PARIS 13"
PME,"[48.847116, 2.270127]",20 à 49 salariés,12,34226673100013,34226673100013,1,75016,1,1987-04-27,1987-04-27,CENTRE COROT - ENTRAIDE D'AUTEUIL,"4 RUE COROT, 75016 PARIS 16"
PME,"[48.869005, 2.33601]",3 à 5 salariés,2,78420584100041,78420584100041,1,75002,1,1900-01-01,2013-07-15,MOUVEMENT EUROPEEN FRANCE (ME-F),"2 RUE DE CHOISEUL, 75002 PARIS 2"
Non productif,"[48.85731, 2.375669]",Etablissement non employeur,-1,88961061400014,88961061400014,1,75011,0,2020-06-06,2020-06-06,LES COMPAGNONS DE L'IMPROMPTU,"48 RUE SEDAINE, 75011 PARIS 11"
PME,"[48.762363, 2.410382]",3 à 5 salariés,2,81182925800029,81182925800011,0,94600,1,2015-04-20,2015-04-20,CLUSTER EAU-MILIEUX-SOLS PARIS ILE-DE-FRANCE,"2 RUE WALDECK ROUSSEAU, 94600 CHOISY-LE-ROI"
PME,"[48.85289, 2.422974]",100 à 199 salariés,22,77569126400201,77569126400169,0,93100,1,1979-01-01,2014-08-01,FEDERATION REGIONALE DES MAISONS DES JEUNES ET DE LA CULTURE EN ILE DE FRANCE,"65 RUE VOLTAIRE, 93100 MONTREUIL"
PME,"[48.862293, 2.399418]",1 ou 2 salariés,1,43495302200044,43495302200044,1,75020,1,2001-01-01,2019-10-01,ASSOCIATION L'AQUILONE,"18 RUE RAMUS, 75020 PARIS 20"
PME,"[48.835592, 2.325821]",1 ou 2 salariés,1,45099797800074,45099797800074,1,75014,1,2003-10-08,2020-07-01,L UN EST L AUTRE,"22 RUE DEPARCIEUX, 75014 PARIS 14"
PME,"[48.880712, 2.364863]",50 à 99 salariés,21,39894554300021,39894554300021,1,75010,1,1994-10-01,1997-01-20,SIDACTION,"228 RUE DU FAUBOURG SAINT MARTIN, 75010 PARIS 10"
Non productif,"[48.854479, 2.337988]",Etablissement non employeur,-1,82162269300017,82162269300017,1,75006,0,2016-06-30,2016-06-30,RESO-FEMMES PARIS EUROPE,"64 RUE MAZARINE, 75006 PARIS 6"
Non productif,"[2.2862171,48.8747667]",Etablissement non employeur,-1,84832730000010,84832730000010,1,75116,0,2019-02-04,2019-02-04,A-WAREE,"22 RUE DURET, 75116 PARIS 16"
PME,"[48.8549, 2.38345]",50 à 99 salariés,21,78471870200037,78471870200037,1,75011,1,1976-01-01,1984-02-06,ECOLE DES PARENTS ET DES EDUCATEURS D'ILE DE FRANCE,"5 IMPASSE BON SECOURS, 75011 PARIS 11"
PME,"[48.853321, 2.313465]",Etablissement non employeur,-1,81029372000027,81029372000019,0,75007,0,2015-02-16,2015-02-16,LED BY HER,"3 PLACE VAUBAN, 75007 PARIS 7"
PME,"[48.8652, 2.33312]",50 à 99 salariés,21,77567137300220,77567137300154,0,75001,1,1988-08-04,2003-12-31,OFFICE DE TOURISME ET DES CONGRES PARIS,"25 RUE DES PYRAMIDES, 75001 PARIS 1"
PME,"[48.841017, 2.492826]",Etablissement non employeur,-1,53144546800030,53144546800030,1,94130,0,2011-01-01,2016-10-26,LA CAVE DE DISQUES,"2 RUE JEAN MONNET, 94130 NOGENT-SUR-MARNE"
Non productif,"[48.849888, 2.438116]",Etablissement non employeur,-1,45112001800028,45112001800028,1,94300,0,2003-11-03,2019-05-13,COMPAGNIE DES INACHEVE'S,"26 RUE DE STRASBOURG, 94300 VINCENNES"
PME,"[48.860084, 2.341064]",0 salarié,0,34515164100023,34515164100015,0,75001,0,1985-05-28,1985-05-28,CENTRE FORMATION FOOTBALL PARIS,"4 PLACE DU LOUVRE, 75001 PARIS 1"
Non productif,"[48.86162, 2.34842]",Etablissement non employeur,-1,83766505800017,83766505800017,1,75001,0,2017-02-24,2017-02-24,KUDAKUDE,"12 RUE DE LA COSSONNERIE, 75001 PARIS 1"
PME,"[48.890069, 2.347335]",Etablissement non employeur,-1,32819563100036,32819563100036,1,75018,1,1983-05-15,2008-10-01,LES PARVIS POETIQUES,"15 PASSAGE RAMEY, 75018 PARIS 18"
PME,"[48.85786, 2.392446]",Etablissement non employeur,-1,53372908300014,53372908300014,1,75020,1,2011-05-25,2011-05-25,SANTE INFO SOLIDARITE - RESEAU,"190 BOULEVARD DE CHARONNE, 75020 PARIS 20"
Non productif,"[48.826454, 2.304764]",Etablissement non employeur,-1,87769775500016,87769775500016,1,75014,0,2019-08-22,2019-08-22,MA PARTITION DE VIE,"1 AVENUE DE LA PORTE DE VANVES, 75014 PARIS 14"
PME,"[48.853387, 2.392573]",Etablissement non employeur,-1,85135061100014,85135061100014,1,75011,1,2019-05-29,2019-05-29,ICI ET LAB,"63 AVENUE PHILIPPE AUGUSTE, 75011 PARIS 11"
Non productif,"[48.830318, 2.365994]",Etablissement non employeur,-1,83910711700013,83910711700013,1,75013,0,2018-02-15,2018-02-15,ASSOCIATION L'OURSE,"63 RUE CLISSON, 75013 PARIS 13"
Non productif,"[48.860003, 2.310912]",Etablissement non employeur,-1,51745787500014,51745787500014,1,75007,0,2008-11-20,2008-11-20,IDO,"42 RUE ST DOMINIQUE, 75007 PARIS 7"
Non productif,"[48.837491, 2.408453]",Etablissement non employeur,-1,84196719300019,84196719300019,1,75012,0,2018-06-26,2018-06-26,LES ARTS ACCORDES,"14 BOULEVARD SOULT, 75012 PARIS 12"
Non productif,"[48.869005, 2.33601]",Etablissement non employeur,-1,83763453400023,83763453400015,0,75002,0,2017-12-12,2017-12-12,LINKEE PARIS,"2 RUE DE CHOISEUL, 75002 PARIS 2"
PME,"[48.82582, 2.35234]",20 à 49 salariés,12,78428758300073,78428758300073,1,75013,1,1900-01-01,2000-01-05,VAINCRE LA MUCOVISCIDOSE,"181 RUE DE TOLBIAC, 75013 PARIS 13"
PME,"[48.862392, 2.36748]",6 à 9 salariés,3,48117691500058,48117691500058,1,75011,1,2005-01-12,2018-06-30,ATELIER RECHERCHE TRAITEMENT ET MEDIATION INTERCULTURELLE ET SOCIALE,"102 RUE AMELOT, 75011 PARIS 11"
Non productif,"[48.852192, 2.314272]",Etablissement non employeur,-1,80456113200015,80456113200015,1,75007,0,2007-05-28,2007-05-28,SOCIETE DES FAMILLES ET AMIS DES ANCIENNES DEPORTEES ET INTERNEES DE LA RESISTANCE,"30 BOULEVARD DES INVALIDES, 75007 PARIS 7"
PME,"[48.865861, 2.350594]",1 ou 2 salariés,1,48326367900035,48326367900035,1,75002,1,2005-04-12,2011-04-01,ARTISTIC,"183 RUE SAINT DENIS, 75002 PARIS 2"
PME,"[48.862534, 2.354849]",0 salarié,0,83830422800011,83830422800011,1,75003,0,2017-11-13,2017-11-13,COMPAGNIE DES CINQ ROUES,"27 RUE MICHEL LE COMTE, 75003 PARIS 3"
PME,"[48.740194, 1.39477]",6 à 9 salariés,3,39912807300042,39912807300042,1,28100,1,1993-03-30,2005-06-21,RAID AVENTURE ORGANISATION,"CHEMIN DE COMTEVILLE, 28100 DREUX"
PME,"[48.887738, 2.367489]",Etablissement non employeur,-1,75293497600016,75293497600016,1,75019,1,2012-04-17,2012-04-17,UN PAS DE PLUS POUR LE 19EME,"62 RUE D AUBERVILLIERS, 75019 PARIS 19"
PME,"[48.939494, 2.341523]",0 salarié,0,53251851100037,53251851100037,1,93200,0,2011-05-01,2020-06-03,LA PEPITE,"6 QUAI DE SEINE, 93200 SAINT-DENIS"
Non productif,"[48.879202, 2.38819]",Etablissement non employeur,-1,51529640800013,51529640800013,1,75019,0,1957-01-10,1957-01-10,CLUB DES J.B.B.C. JOYEUX BOULOMANES DES BUTTES-CHAUMONT,"71 RUE DE LA VILLETTE, 75019 PARIS 19"
PME,"[48.852645, 2.391732]",1 ou 2 salariés,1,42851439200029,42851439200029,1,75011,1,1990-08-01,2001-05-21,LIGUE FEMMES IRANIENES POUR DEMOCRATIE,"21 RUE VOLTAIRE, 75011 PARIS 11"
PME,"[48.863313, 2.342214]",10 à 19 salariés,11,78445168400020,78445168400020,1,75001,1,1900-01-01,2000-09-08,LIG INTER CONTR RACISM ANTISEM,"42 RUE DU LOUVRE, 75001 PARIS 1"
PME,"[48.858994, 2.410871]",1 ou 2 salariés,1,45355810800016,45355810800016,1,75020,1,2003-12-22,2003-12-22,ASSOCIATION MULTI'COLORS,"2 SQUARE D AMIENS, 75020 PARIS 20"
PME,"[48.838653, 2.407688]",1 ou 2 salariés,1,44802724300030,44802724300030,1,75012,1,1991-12-30,2018-04-20,COMITE DEPARTEMENT D'ATHLETISM DE PARIS,"32 RUE ROTTEMBOURG, 75012 PARIS 12"
PME,"[48.861188, 2.340468]",10 à 19 salariés,11,78439645900041,78439645900041,1,75001,1,1900-01-01,1900-01-01,FESTIVAL D AUTOMNE A PARIS,"156 RUE DE RIVOLI, 75001 PARIS 1"
Non productif,"[48.849784, 2.399539]",Etablissement non employeur,-1,51934805600010,51934805600010,1,75020,0,2009-03-11,2009-03-11,LE PARIS DES ORGUES,"4 RUE DE LA PLAINE, 75020 PARIS 20"
PME,"[48.879336, 2.353578]",1 ou 2 salariés,1,80078284900015,80078284900015,1,75010,1,2013-06-10,2013-06-10,ASSO TOUS POUR L INCLUSION TOUPI,"120 BOULEVARD DE MAGENTA, 75010 PARIS 10"
PME,"[48.854241, 2.403413]",Etablissement non employeur,-1,44355612100012,44355612100012,1,75020,1,1996-06-10,1996-06-10,ASOCIATION BENKADI,"4 PASSAGE DE LA PROVIDENCE, 75020 PARIS 20"
PME,"[48.879639, 2.318635]",10 à 19 salariés,11,77566961700018,77566961700018,1,75008,1,1900-01-01,1900-01-01,UNION CHRETIENNE DE JEUNES FILLES ET DE JEUNES GENS,"22 RUE DE NAPLES, 75008 PARIS 8"
PME,"[48.90034, 2.386335]",0 salarié,0,81791243900012,81791243900012,1,75019,1,2013-12-04,2013-12-04,PRO BONO PUBLICO,"11 PLACE AUGUSTE BARON, 75019 PARIS 19"
Non productif,"[48.843796, 2.410446]",Etablissement non employeur,-1,81167173400010,81167173400010,1,75012,0,2014-11-12,2014-11-12,HAPPY COURTELINE,"70 BOULEVARD SOULT, 75012 PARIS 12"
Non productif,"[48.818492, 2.252237]",Etablissement non employeur,-1,50386731900025,50386731900025,1,92130,0,2005-06-02,2011-01-21,PSYCHOMOTRICIENS SANS FRONTIERES,"24 AVENUE DE VERDUN, 92130 ISSY-LES-MOULINEAUX"
Non productif,"[48.877751, 2.317486]",Etablissement non employeur,-1,47841183800020,47841183800012,0,75008,0,2003-11-24,2003-11-24,OFFICE MOUVEMT SPORTIF DU 8E ARRONDT,"3 RUE DE LISBONNE, 75008 PARIS 8"
PME,"[48.87346, 2.390941]",1 ou 2 salariés,1,49797636500054,49797636500047,0,75020,0,2007-03-01,2017-09-01,PARIS ACADEMIE RESPECT INTEGRITE SPORT,"1 RUE FREDERICK LEMAITRE, 75020 PARIS 20"
PME,"[48.87982, 2.324175]",6 à 9 salariés,3,38436602700025,38436602700025,1,75008,1,1991-10-09,1993-01-12,OCTAVE ET ARPEGE,"4 RUE DE SAINT PETERSBOURG, 75008 PARIS 8"
PME,"[48.599445, 2.424663]",0 salarié,0,50781815100015,50781815100015,1,91090,1,2008-06-20,2008-06-20,COMPAGNIE COMME SI,"36 RUE DE PARIS, 91090 LISSES"
PME,"[48.87236, 2.387125]",10 à 19 salariés,11,48274286300046,48274286300046,1,75020,1,2005-06-13,2018-06-13,A CHACUN SES VACANCES,"139 RUE DES PYRENEES, 75020 PARIS 20"
PME,"[48.870717, 2.358979]",10 à 19 salariés,11,32015204400030,32015204400030,1,75010,1,1980-04-01,2010-09-15,MAISON DE LA CULTURE YIDDISH BIBLIOTHEQUE MEDEM PARIZER YIDISH TSENTER,"29 RUE DU CHATEAU D EAU, 75010 PARIS 10"
Non productif,"[48.833499, 2.468102]",Etablissement non employeur,-1,43831726500017,43831726500017,1,75012,0,1995-04-15,1995-04-15,ASSOC DES ETUDES ET DU DEVELOPPEMENT,"45 AVENUE DE LA BELLE GABRIELLE, 75012 PARIS 12"
Non productif,"[48.843553, 2.497949]",Etablissement non employeur,-1,84279577500019,84279577500019,1,94170,0,2018-04-24,2018-04-24,LE RALLY FEMININ DANS LE MONDE,"27 AVENUE DU ONZE NOVEMBRE, 94170 LE PERREUX-SUR-MARNE"
PME,"[48.855632, 2.374496]",10 à 19 salariés,11,39984846400018,39984846400018,1,75011,1,1995-01-01,1995-01-01,SOLIDARITE ROQUETTE,"47 RUE DE LA ROQUETTE, 75011 PARIS 11"
PME,"[48.837298, 2.321683]",1 ou 2 salariés,1,52755358000020,52755358000020,1,75014,1,2009-09-29,2011-07-04,LE MARCHE SOLIDAIRE,"12 RUE DE L EURE, 75014 PARIS 14"
PME,"[48.890069, 2.347335]",0 salarié,0,82758835100029,82758835100029,1,75018,1,2015-12-10,2017-09-29,WA COMPAGNIE,"15 PASSAGE RAMEY, 75018 PARIS 18"
PME,"[48.862293, 2.399418]",1 ou 2 salariés,1,81278104500032,81278104500032,1,75020,0,2015-06-08,2020-10-16,LES MEDIATEURS ET LES MEDIATRICES DU 20EME LES MEDIATEURS ET MEDIATRICES SOCIAUX ET CULTURELLES,"18 RUE RAMUS, 75020 PARIS 20"
Non productif,"[48.898694, 2.34093]",Etablissement non employeur,-1,82403374000013,82403374000013,1,75018,0,2015-08-11,2015-08-11,ASSOCIATION VOTRE VILLAGE A TOUS,"14 RUE EUGENE FOURNIERE, 75018 PARIS 18"
Non productif,"[48.86807, 2.389951]",Etablissement non employeur,-1,80962205300019,80962205300019,1,75020,0,2015-01-16,2015-01-16,LES MARMOULINS DE MENIL,"10 RUE SORBIER, 75020 PARIS 20"
Non productif,"[48.895031, 2.323751]",Etablissement non employeur,-1,42999129200021,42999129200021,1,75017,0,1998-02-12,2009-08-20,NOISE UNITY DESIGN,"25 RUE LANTIEZ, 75017 PARIS 17"
PME,"[48.854291, 2.411514]",1 ou 2 salariés,1,79368209700019,79368209700019,1,75020,1,2013-04-04,2013-04-04,NOVIS EDUCATION & CO,"5 SQUARE DE LA GASCOGNE, 75020 PARIS 20"
PME,"[45.863135, 4.760123]",0 salarié,0,81374263200017,81374263200017,1,69380,1,2015-08-26,2015-08-26,COMPAGNIE LA PREMIERE SECONDE,"1044  CHATEAU DE MACHY, 69380 CHASSELAY"
Non productif,"[48.868607, 2.385801]",Etablissement non employeur,-1,88495631900013,88495631900013,1,75020,0,2018-11-22,2018-11-22,CINEASTES NON ALIGNEES,"6 RUE DU LIBAN, 75020 PARIS 20"
PME,"[48.877121, 2.397815]",1 ou 2 salariés,1,48995447900031,48995447900031,1,75019,1,2006-02-01,2015-04-01,TRAVERSES PARCOURS,"23 RUE DU DOCTEUR POTAIN, 75019 PARIS 19"
PME,"[48.894832, 2.323809]",Etablissement non employeur,-1,81497623900016,81497623900016,1,75017,1,2015-11-29,2015-11-29,L'ART ET LA VIE,"26 RUE LANTIEZ, 75017 PARIS 17"
PME,"[49.048634, 2.030044]",Etablissement non employeur,-1,81265446500010,81265446500010,1,95800,0,2015-06-23,2015-06-23,SCENITUDE,"1 PASSAGE DE LA MUSARAIGNE, 95800 CERGY"
PME,"[48.818109, 2.344456]",6 à 9 salariés,3,39901545200010,39901545200010,1,75013,1,1994-09-12,1994-09-12,ASS PUC RUGBY,"17 AVENUE PIERRE DE COUBERTIN, 75013 PARIS 13"
PME,"[48.872786, 2.326256]",100 à 199 salariés,22,78433713100014,78433713100014,1,75008,1,1900-01-01,1998-01-01,SOLIHA GRAND PARIS,"29 RUE TRONCHET, 75008 PARIS 8"
PME,"[48.873309, 2.379887]",1 ou 2 salariés,1,81054719000027,81054719000019,0,75019,1,2014-11-18,2014-11-18,LES ATELIERS DE BELACQUA,"6 RUE RAMPAL, 75019 PARIS 19"
PME,"[43.615512, 7.054762]",100 à 199 salariés,22,31490172900041,31490172900058,0,6560.,1,1979-01-01,1991-10-01,OFFICE INTERNATIONAL DE L'EAU,"PLACE SOPHIE LAFFITTE, 6560. VALBONNE"
